Rules, confidence
gender: male -> lunch: standard, 0.6556016597510373
test preparation course: none -> lunch: standard, 0.6510903426791277
lunch: standard -> test preparation course: none, 0.648062015503876
gender: female -> test preparation course: none, 0.6447876447876448
race/ethnicity: group C -> lunch: standard, 0.6426332288401254
gender: male -> test preparation course: none, 0.6390041493775933
gender: female -> lunch: standard, 0.6351351351351351
test preparation course: completed -> lunch: standard, 0.6340782122905028
race/ethnicity: group C -> test preparation course: none, 0.6332288401253918
lunch: free/reduced -> test preparation course: none, 0.6309859154929578
test preparation course: none -> gender: female, 0.5202492211838006
lunch: standard -> gender: female, 0.5100775193798449
Triples rules:
"(gender: male, test preparation course: none) -> lunch: standard", 0.6590909090909091
"(gender: female, lunch: standard) -> test preparation course: none", 0.6534954407294833
"(gender: female, test preparation course: none) -> lunch: standard", 0.6437125748502994
"(gender: male, lunch: standard) -> test preparation course: none", 0.6424050632911392
"(lunch: standard, test preparation course: none) -> gender: female", 0.5143540669856459
